"Показник","Період","Стать","Територіальний розріз","Категорія розрізу","Розріз","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження","2016","2017","2018","2019","2020"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Службовці, що зайняті в бібліотеці, на пошті та подібними роботами ","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","2781","","","","4755"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Інші професійні назви робіт з обслуговування та експлуатації","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","5501","","","","11722"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Водії автотранспортних та мототранспортних засобів та інші робітники з обслуговування автотранспортної та мототранспортної техніки ","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","3895","","","","8887"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Найпростіші професії в  сільському господарстві та подібних галузях ","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","1972","","","","5551"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Фахівці з виробництва м'ясних продуктів","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","2396","","","","5943"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Робітники в галузі точної  механіки, ручних ремесел та друкування","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","3937","","","","9077"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Робітники, що обслуговують установки скляного, керамічного виробництва, та робітники на подібному устаткуванні ","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","3600","","","","9446"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Комірники та вагарі ","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","3719","","","","7979"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Фахівці в галузі харчової та переробної промисловості ","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","2501","","","","9376"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Робітники, що виконують високоточні роботи в металі та подібних матеріалах ","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","4088","","","","9714"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Продавці, що ведуть торгівлю з лотків та на ринках ","Річна","Гривня","Одиниці","Нуль","Явищ не було","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","1525","","","",""
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Касири, касири в банках та білетери ","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","3796","","","","7862"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Будівельники будівель та споруд ","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","4282","","","","8200"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Робітники, що обслуговують автоматизовані складальні лінії ","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","4089","","","","9495"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Стаж роботи","15-19 років","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.","","6803","","","","14268"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Робітники з обслуговування  експлуатації та контролювання за роботою технологічного устаткування, складання устаткування та машин ","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","4582","","","","10198"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Робітники, зайняті в лісовому господарстві ","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","5472","","","","9497"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Агенти з комерційного обслуговування та торговельні брокери ","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","4070","","","","7325"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Технічні службовці ","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","3668","","","","7780"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Посильні, носії та швейцари ","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","2284","","","","5644"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Робітники, що обслуговують устаткування з виробництва продукції з деревини ","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","3625","","","","9298"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Працівники з надання послуг у сфері мистецтва ","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","2596","","","","8498"
